Algoritmo;Alfa;Improve
Leiden;0.25;0
Leiden;0.24;0
Leiden;0.23;0
Leiden;0.22;0
Leiden;0.21;1
Leiden;0.2;1
Leiden;0.19;1
Leiden;0.18;1
Leiden;0.17;1
Leiden;0.16;1
Leiden;0.15;1
Leiden;0.14;1
Leiden;0.13;1
Leiden;0.12;1
Leiden;0.11;1
Leiden;0.1;1
Leiden;0.09;1
Leiden;0.08;1
Leiden;0.07;1
Leiden;0.06;1
Leiden;0.05;1
Leiden;0.04;1
Leiden;0.03;1
Leiden;0.02;1
Leiden;0.01;1
Leiden;0.0;1
Walktrap;0.99;0
Walktrap;0.98;0
Walktrap;0.97;0
Walktrap;0.96;0
Walktrap;0.95;0
Walktrap;0.94;0
Walktrap;0.93;0
Walktrap;0.92;0
Walktrap;0.91;0
Walktrap;0.9;0
Walktrap;0.89;0
Walktrap;0.88;0
Walktrap;0.87;0
Walktrap;0.86;0
Walktrap;0.85;1
Walktrap;0.84;1
Walktrap;0.83;1
Walktrap;0.82;1
Walktrap;0.81;1
Walktrap;0.8;1
Walktrap;0.79;1
Walktrap;0.78;1
Walktrap;0.77;1
Walktrap;0.76;1
Walktrap;0.75;1
Walktrap;0.74;1
Walktrap;0.73;1
Walktrap;0.72;1
Walktrap;0.71;1
Walktrap;0.7;1
Walktrap;0.69;1
Walktrap;0.68;1
Walktrap;0.67;1
Walktrap;0.66;1
Walktrap;0.65;1
Walktrap;0.64;1
Walktrap;0.63;1
Walktrap;0.62;1
Walktrap;0.61;1
Walktrap;0.6;1
Walktrap;0.59;1
Walktrap;0.58;1
Walktrap;0.57;1
Walktrap;0.56;1
Walktrap;0.55;1
Walktrap;0.54;1
Walktrap;0.53;1
Walktrap;0.52;1
Walktrap;0.51;1
Walktrap;0.5;1
Walktrap;0.49;0
Walktrap;0.48;0
Walktrap;0.47;0
Walktrap;0.46;0
Walktrap;0.45;0
Walktrap;0.44;0
Walktrap;0.43;0
Walktrap;0.42;0
Walktrap;0.41;0
Walktrap;0.4;0
Walktrap;0.39;0
Walktrap;0.38;0
Walktrap;0.37;0
Walktrap;0.36;0
Walktrap;0.35;0
Walktrap;0.34;0
Walktrap;0.33;0
Walktrap;0.32;0
Walktrap;0.31;0
Walktrap;0.3;0
Walktrap;0.29;0
Walktrap;0.28;0
Walktrap;0.27;0
Walktrap;0.26;0
Walktrap;0.25;0
Walktrap;0.24;0
Walktrap;0.23;0
Walktrap;0.22;0
Walktrap;0.21;0
Walktrap;0.2;0
Walktrap;0.19;0
Walktrap;0.18;0
Walktrap;0.17;0
Walktrap;0.16;0
Walktrap;0.15;0
Walktrap;0.14;0
Walktrap;0.13;0
Walktrap;0.12;0
Walktrap;0.11;0
Walktrap;0.1;0
Walktrap;0.09;0
Walktrap;0.08;0
Walktrap;0.07;0
Walktrap;0.06;0
Walktrap;0.05;0
Walktrap;0.04;0
Walktrap;0.03;0
Walktrap;0.02;0
Walktrap;0.01;0
Walktrap;0.0;0
Infomap;0.99;0
Infomap;0.98;0
Infomap;0.97;0
Infomap;0.96;0
Infomap;0.95;0
Infomap;0.94;0
Infomap;0.93;1
Infomap;0.92;1
Infomap;0.91;1
Infomap;0.9;0
Infomap;0.89;1
Infomap;0.88;0
Infomap;0.87;0
Infomap;0.86;1
Infomap;0.85;0
Infomap;0.84;1
Infomap;0.83;0
Infomap;0.82;0
Infomap;0.81;0
Infomap;0.8;0
Infomap;0.79;1
Infomap;0.78;0
Infomap;0.77;0
Infomap;0.76;1
Infomap;0.75;0
Infomap;0.74;0
Infomap;0.73;0
Infomap;0.72;0
Infomap;0.71;1
Infomap;0.7;0
Infomap;0.69;0
Infomap;0.68;0
Infomap;0.67;0
Infomap;0.66;1
Infomap;0.65;1
Infomap;0.64;0
Infomap;0.63;0
Infomap;0.62;0
Infomap;0.61;0
Infomap;0.6;0
Infomap;0.59;0
Infomap;0.58;0
Infomap;0.57;0
Infomap;0.56;0
Infomap;0.55;0
Infomap;0.54;0
Infomap;0.53;0
Infomap;0.52;0
Infomap;0.51;0
Infomap;0.5;0
Infomap;0.49;0
Infomap;0.48;0
Infomap;0.47;0
Infomap;0.46;0
Infomap;0.45;0
Infomap;0.44;0
Infomap;0.43;0
Infomap;0.42;0
Infomap;0.41;1
Infomap;0.4;1
Infomap;0.39;1
Infomap;0.38;1
Infomap;0.37;0
Infomap;0.36;0
Infomap;0.35;1
Infomap;0.34;1
Infomap;0.33;1
Infomap;0.32;1
Infomap;0.31;1
Infomap;0.3;1
Infomap;0.29;1
Infomap;0.28;1
Infomap;0.27;1
Infomap;0.26;0
Infomap;0.25;1
Infomap;0.24;0
Infomap;0.23;0
Infomap;0.22;0
Infomap;0.21;0
Infomap;0.2;0
Infomap;0.19;0
Infomap;0.18;0
Infomap;0.17;0
Infomap;0.16;0
Infomap;0.15;0
Infomap;0.14;0
Infomap;0.13;0
Infomap;0.12;0
Infomap;0.11;0
Infomap;0.1;0
Infomap;0.09;0
Infomap;0.08;0
Infomap;0.07;0
Infomap;0.06;0
Infomap;0.05;0
Infomap;0.04;0
Infomap;0.03;0
Infomap;0.02;0
Infomap;0.01;0
Infomap;0.0;0
Fast Greedy;0.99;0
Fast Greedy;0.98;0
Fast Greedy;0.97;0
Fast Greedy;0.96;0
Fast Greedy;0.95;0
Fast Greedy;0.94;0
Fast Greedy;0.93;1
Fast Greedy;0.92;1
Fast Greedy;0.91;1
Fast Greedy;0.9;1
Fast Greedy;0.89;1
Fast Greedy;0.88;1
Fast Greedy;0.87;1
Fast Greedy;0.86;1
Fast Greedy;0.85;1
Fast Greedy;0.84;1
Fast Greedy;0.83;1
Fast Greedy;0.82;1
Fast Greedy;0.81;1
Fast Greedy;0.8;1
Fast Greedy;0.79;1
Fast Greedy;0.78;1
Fast Greedy;0.77;1
Fast Greedy;0.76;1
Fast Greedy;0.75;1
Fast Greedy;0.74;1
Fast Greedy;0.73;1
Fast Greedy;0.72;1
Fast Greedy;0.71;1
Fast Greedy;0.7;1
Fast Greedy;0.69;1
Fast Greedy;0.68;1
Fast Greedy;0.67;1
Fast Greedy;0.66;1
Fast Greedy;0.65;1
Fast Greedy;0.64;1
Fast Greedy;0.63;1
Fast Greedy;0.62;1
Fast Greedy;0.61;1
Fast Greedy;0.6;1
Fast Greedy;0.59;1
Fast Greedy;0.58;1
Fast Greedy;0.57;1
Fast Greedy;0.56;1
Fast Greedy;0.55;1
Fast Greedy;0.54;1
Fast Greedy;0.53;1
Fast Greedy;0.52;1
Fast Greedy;0.51;1
Fast Greedy;0.5;1
Fast Greedy;0.49;1
Fast Greedy;0.48;1
Fast Greedy;0.47;1
Fast Greedy;0.46;1
Fast Greedy;0.45;1
Fast Greedy;0.44;1
Fast Greedy;0.43;1
Fast Greedy;0.42;1
Fast Greedy;0.41;1
Fast Greedy;0.4;1
Fast Greedy;0.39;1
Fast Greedy;0.38;1
Fast Greedy;0.37;1
Fast Greedy;0.36;1
Fast Greedy;0.35;1
Fast Greedy;0.34;1
Fast Greedy;0.33;1
Fast Greedy;0.32;1
Fast Greedy;0.31;1
Fast Greedy;0.3;1
Fast Greedy;0.29;1
Fast Greedy;0.28;1
Fast Greedy;0.27;1
Fast Greedy;0.26;1
Fast Greedy;0.25;1
Fast Greedy;0.24;1
Fast Greedy;0.23;1
Fast Greedy;0.22;1
Fast Greedy;0.21;1
Fast Greedy;0.2;1
Fast Greedy;0.19;1
Fast Greedy;0.18;1
Fast Greedy;0.17;1
Fast Greedy;0.16;1
Fast Greedy;0.15;1
Fast Greedy;0.14;1
Fast Greedy;0.13;1
Fast Greedy;0.12;1
Fast Greedy;0.11;1
Fast Greedy;0.1;1
Fast Greedy;0.09;1
Fast Greedy;0.08;1
Fast Greedy;0.07;1
Fast Greedy;0.06;1
Fast Greedy;0.05;1
Fast Greedy;0.04;1
Fast Greedy;0.03;1
Fast Greedy;0.02;1
Fast Greedy;0.01;1
Fast Greedy;0.0;1
Surprise;0.99;0
Surprise;0.98;0
Surprise;0.97;0
Surprise;0.96;0
Surprise;0.95;0
Surprise;0.94;0
Surprise;0.93;0
Surprise;0.92;0
Surprise;0.91;0
Surprise;0.9;1
Surprise;0.89;1
Surprise;0.88;1
Surprise;0.87;1
Surprise;0.86;1
Surprise;0.85;1
Surprise;0.84;1
Surprise;0.83;1
Surprise;0.82;1
Surprise;0.81;1
Surprise;0.8;1
Surprise;0.79;1
Surprise;0.78;1
Surprise;0.77;1
Surprise;0.76;1
Surprise;0.75;1
Surprise;0.74;1
Surprise;0.73;1
Surprise;0.72;1
Surprise;0.71;1
Surprise;0.7;1
Surprise;0.69;1
Surprise;0.68;1
Surprise;0.67;1
Surprise;0.66;1
Surprise;0.65;1
Surprise;0.64;1
Surprise;0.63;1
Surprise;0.62;1
Surprise;0.61;1
Surprise;0.6;1
Surprise;0.59;1
Surprise;0.58;1
Surprise;0.57;1
Surprise;0.56;1
Surprise;0.55;1
Surprise;0.54;1
Surprise;0.53;1
Surprise;0.52;1
Surprise;0.51;1
Surprise;0.5;1
Surprise;0.49;1
Surprise;0.48;1
Surprise;0.47;1
Surprise;0.46;1
Surprise;0.45;1
Surprise;0.44;1
Surprise;0.43;1
Surprise;0.42;1
Surprise;0.41;1
Surprise;0.4;1
Surprise;0.39;1
Surprise;0.38;1
Surprise;0.37;1
Surprise;0.36;1
Surprise;0.35;1
Surprise;0.34;1
Surprise;0.33;1
Surprise;0.32;1
Surprise;0.31;1
Surprise;0.3;1
Surprise;0.29;1
Surprise;0.28;1
Surprise;0.27;1
Surprise;0.26;1
Surprise;0.25;1
Surprise;0.24;1
Surprise;0.23;1
Surprise;0.22;1
Surprise;0.21;1
Surprise;0.2;1
Surprise;0.19;1
Surprise;0.18;1
Surprise;0.17;1
Surprise;0.16;1
Surprise;0.15;1
Surprise;0.14;1
Surprise;0.13;1
Surprise;0.12;1
Surprise;0.11;1
Surprise;0.1;1
Surprise;0.09;1
Surprise;0.08;1
